first_name,second_name,web_name,club
Martín,Zubimendi Ibáñez,Zubimendi,Arsenal
Albert,Sambi Lokonga,Sambi,Arsenal
Cristhian,Mosquera,Mosquera,Arsenal
Viktor,Gyökeres,Gyökeres,Arsenal
Max,Dowman,Dowman,Arsenal
Marco,Bizot,M.Bizot,Aston Villa
Yasin,Özcan,Yasin,Aston Villa
Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,Aston Villa
Zépiqueno,Redmond,Redmond,Aston Villa
Evann,Guessand,Guessand,Aston Villa
James,Wright,Wright,Aston Villa
Triston,Rowe,Rowe,Aston Villa
Bradley,Burrowes,Burrowes,Aston Villa
Sam,Proctor,Proctor,Aston Villa
Adrien,Truffert,Truffert,Bournemouth
Owen,Bevan,Bevan,Bournemouth
Eli Junior,Kroupi,Kroupi.Jr,Bournemouth
Bafodé,Diakité,Diakité,Bournemouth
Amine,Adli,Adli,Bournemouth
Ellery,Balcombe,Balcombe,Brentford
Matthew,Cox,Cox,Brentford
Antoni,Milambo,Milambo,Brentford
Jordan,Henderson,Henderson,Brentford
Romelle,Donovan,Donovan,Brentford
Tom,McGill,McGill,Brighton
Kjell,Scherpen,Scherpen,Brighton
Olivier,Boscagli,Boscagli,Brighton
Diego,Coppola,Coppola,Brighton
Maxim,De Cuyper,De Cuyper,Brighton
Ferdi,Kadıoğlu,F.Kadıoğlu,Brighton
Abdallah,Sima,Sima,Brighton
Tom,Watson,Watson,Brighton
Malick,Yalcouyé,Yalcouye,Brighton
Stefanos,Tzimas,Tzimas,Brighton
Charalampos,Kostoulas,Kostoulas,Brighton
Filip,Jörgensen,Jörgensen,Chelsea
Mike,Penders,Penders,Chelsea
Gabriel,Słonina,Slonina,Chelsea
Mamadou,Sarr,M.Sarr,Chelsea
Estêvão,Almeida de Oliveira Gonçalves,Estêvão,Chelsea
Jamie,Bynoe-Gittens,Gittens,Chelsea
Dário,Luís Essugo,D.Essugo,Chelsea
Kendry,Páez Andrade,Paez,Chelsea
Jorrel,Hato,Hato,Chelsea
Walter,Benítez,Benitez,Crystal Palace
Borna,Sosa,Sosa,Crystal Palace
Rio,Cardines,Cardines,Crystal Palace
Harry,Tyrer,Tyrer,Everton
Thierno,Barry,Barry,Everton
Adam,Aznou,Aznou,Everton
Tyler,Onyango,Onyango,Everton
Elijah,Campbell,Campbell,Everton
Benjamin,Lecomte,Lecomte,Fulham
Giorgi,Mamardashvili,Mamardashvili,Liverpool
Ármin,Pécsi,Pécsi,Liverpool
Freddie,Woodman,Woodman,Liverpool
Jeremie,Frimpong,Frimpong,Liverpool
Calvin,Ramsay,Ramsay,Liverpool
Florian,Wirtz,Wirtz,Liverpool
Hugo,Ekitiké,Ekitiké,Liverpool
Rio,Ngumoha,Ngumoha,Liverpool
Giovanni,Leoni,Leoni,Liverpool
James,Trafford,Trafford,Man City
Rayan,Cherki,Cherki,Man City
Tijjani,Reijnders,Reijnders,Man City
Sverre,Nypan,Nypan,Man City
Altay,Bayındır,Bayindir,Man Utd
Diego,León Blanco,D.Leon,Man Utd
Benjamin,Sesko,Šeško,Man Utd
Mark,Gillespie,Gillespie,Newcastle
Harrison,Ashby,Ashby,Newcastle
Antoñito,Cordero Campillo,Antoñito C.,Newcastle
Malick,Thiaw,Thiaw,Newcastle
Seung-Soo,Park,Seung soo,Newcastle
David,Mota Veiga Teixeira do Carmo,David Carmo,Nott'm Forest
Jair,Paula da Cunha Filho,Jair Cunha,Nott'm Forest
João Pedro,Ferreira da Silva,Jota,Nott'm Forest
Marko,Stamenić,Stamenic,Nott'm Forest
Igor Jesus,Maciel da Cruz,Igor Jesus,Nott'm Forest
Dan,Ndoye,Ndoye,Nott'm Forest
Angus,Gunn,Gunn,Nott'm Forest
Arnaud,Kalimuendo,Kalimuendo,Nott'm Forest
Douglas Luiz,Soares de Paulo,Douglas Luiz,Nott'm Forest
Takai,Kōta,Takai,Spurs
Luka,Vušković,Vuskovic,Spurs
Yang,Min-hyeok,Min-hyeok,Spurs
João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha,Spurs
Krisztián,Hegyi,Hegyi,West Ham
El Hadji Malick,Diouf,Diouf,West Ham
Freddie,Potts,Potts,West Ham
Callum,Marshall,Marshall,West Ham
Fer,López González,Fer López,Wolves
Jhon,Arias,J.Arias,Wolves
David,Møller Wolfe,Møller Wolfe,Wolves
Jackson,Tchatchoua,Tchatchoua,Wolves
Ladislav,Krejcí,Krejčí,Wolves
